"PremisesPostCode","Liberal.National.Coalition.Votes","Australian.Labor.Party.Votes","TotalVotes","Electorate","PartyAb","PartyGrouping","LaborMargin","State..Territory1","Statistical.Area.Level.4..SA4.2","Individuals.no.","Taxable.income.or.loss4.no.","Taxable.income.or.loss4..","Salary.or.wages.no.","Salary.or.wages..","HELP.debt.balance.no.","HELP.debt.balance..","Average.HELP.debt","HecsPostcodeShare","Average.Income","Average.Salary","Average.HECS.Average.Salary"
800,3714,5635,9349,"Solomon","ALP","Labor",10.2738260776554,"NT","Darwin",5430,5369,400520074,4914,360949013,597,16842261,28211.4924623116,10.9944751381215,74598.6355000931,73453.1975986976,0.384074395459835
810,2011,3966,5977,"Solomon","ALP","Labor",16.3543583737661,"NT","Darwin",22405,22221,1685071629,19685,1485710302,3147,75242583,23909.3050524309,14.0459718812765,75832.3940866748,75474.2342900686,0.316787646503848
812,1571,2588,4159,"Solomon","ALP","Labor",12.2264967540274,"NT","Darwin",11116,11028,774370881,9696,694137357,1279,25084093,19612.2697419859,11.5059373875495,70218.6145266594,71590.0739480198,0.273952360437929
820,6393,9680,16073,"Solomon","ALP","Labor",10.2252224226964,"NT","Darwin",13865,13772,1194003468,12247,981712899,2068,55371148,26775.2166344294,14.9152542372881,86697.8992158002,80159.4593778068,0.334024416360304
822,1449,2674,4123,"Lingiari","ALP","Labor",14.8556876061121,"NT","Northern Territory - Outback",7214,7087,381296804,6260,318101993,562,9815704,17465.665480427,7.79040754089271,53802.2864399605,50815.01485623,0.343710722703562
828,123,102,225,"Solomon","ALP","Labor",-4.66666666666667,"NT","Darwin",1052,1047,90382878,910,68676472,123,2250595,18297.5203252033,11.6920152091255,86325.5759312321,75468.6505494506,0.242451934571347
829,22,187,209,"Lingiari","ALP","Labor",39.4736842105263,"NT","Darwin",517,517,36854963,503,35756197,76,1421827,18708.25,14.7001934235977,71286.1953578337,71085.8787276342,0.263178149231027
830,5209,5323,10532,"Solomon","ALP","Labor",0.541207747816173,"NT","Darwin",11440,11340,814219769,10290,746851124,1214,20070816,16532.7973640857,10.6118881118881,71800.6850970018,72580.284159378,0.227786341092045
832,1582,1605,3187,"Solomon","ALP","Labor",0.360840916222152,"NT","Darwin",12245,12163,934488638,11456,889608548,1569,28322834,18051.5194391332,12.8133932217232,76830.4396941544,77654.3774441341,0.232459779258675
835,540,303,843,"Lingiari","ALP","Labor",-14.0569395017794,"NT","Darwin",2770,2747,215789430,2323,183372650,210,3305662,15741.2476190476,7.5812274368231,78554.5795413178,78937.860525183,0.199413152501464
836,591,385,976,"Lingiari","ALP","Labor",-10.5532786885246,"NT","Darwin",5252,5204,410014795,4529,359917670,392,6229474,15891.5153061224,7.46382330540746,78788.3925826287,79469.5672333848,0.199969823158248
838,320,213,533,"Lingiari","ALP","Labor",-10.0375234521576,"NT","Darwin",577,569,42322864,491,38246205,39,644329,16521.2564102564,6.75909878682842,74381.1318101933,77894.5112016293,0.212097825063582
839,4480,2834,7314,"Lingiari","ALP","Labor",-11.2523926715887,"NT","Darwin",571,565,42813515,509,38985832,45,807252,17938.9333333333,7.88091068301226,75776.1327433628,76592.9901768173,0.234211163344332
850,1974,1474,3448,"Lingiari","ALP","Labor",-7.25058004640371,"NT","Northern Territory - Outback",4354,4309,298887483,3935,266676880,478,11215415,23463.2112970711,10.9784106568672,69363.5374796937,67770.4904701398,0.346215751639118
860,565,465,1030,"Lingiari","ALP","Labor",-4.85436893203883,"NT","Northern Territory - Outback",1356,1346,90002672,1268,85644072,136,2803283,20612.375,10.0294985250737,66866.7696879643,67542.643533123,0.305175721911027
870,4579,4822,9401,"Lingiari","ALP","Labor",1.2924157004574,"NT","Northern Territory - Outback",13612,13525,1001058932,12434,906269086,2005,49929999,24902.7426433915,14.7296503085513,74015.4478373383,72886.3668972173,0.341665303176777
872,552,923,1475,"Lingiari","ALP","Labor",12.5762711864407,"NT","Northern Territory - Outback",3837,3776,179509499,3391,148158134,360,7138027,19827.8527777778,9.38232994526974,47539.5918961864,43691.575936302,0.453814090081915
873,175,90,265,"Lingiari","ALP","Labor",-16.0377358490566,"NT","Northern Territory - Outback",773,765,54928486,700,48073922,107,2169340,20274.2056074766,13.8421733505821,71801.9424836601,68677.0314285714,0.295210861415335
875,332,283,615,"Lingiari","ALP","Labor",-3.98373983739837,"NT","Northern Territory - Outback",913,905,62146222,839,57932190,133,3252414,24454.2406015038,14.5673603504929,68669.8585635359,69049.0941597139,0.354157297776274
880,375,671,1046,"Lingiari","ALP","Labor",14.1491395793499,"NT","Northern Territory - Outback",1495,1490,110286881,1425,102820194,238,5434352,22833.4117647059,15.9197324414716,74018.0409395973,72154.5221052632,0.316451569471906
886,86,111,197,"Lingiari","ALP","Labor",6.34517766497462,"NT","Northern Territory - Outback",644,640,42445272,619,39880948,56,1311790,23424.8214285714,8.69565217391304,66320.7375,64428.0258481422,0.363581238447133
2000,10371,17897,28268,"Sydney","ALP","Labor",13.3118720815056,"NSW","Sydney - City and Inner South",22833,22278,2455997017,18410,1398755694,1763,61422656,34839.8502552467,7.72128060263653,110243.155444833,75978.03878327,0.458551586921434
2007,2400,8231,10631,"Sydney","ALP","Labor",27.4245132160662,"NSW","Sydney - City and Inner South",5159,5042,316418589,4395,273576273,670,23121505,34509.7089552239,12.987012987013,62756.5626735422,62247.1610921502,0.554398117917956
2009,691,1286,1977,"Sydney","ALP","Labor",15.048052604957,"NSW","Sydney - City and Inner South",8920,8779,937653211,7133,678744348,1063,34823843,32759.9651928504,11.9170403587444,106806.38011163,95155.5233422123,0.344278125348901
2010,2004,6846,8850,"Sydney","ALP","Labor",27.3559322033898,"NSW","Sydney - City and Inner South",19012,18788,2178339299,16184,1634373286,3775,135185383,35810.6974834437,19.8558804965285,115943.117894401,100986.980103806,0.354607073571596
2011,3305,7074,10379,"Sydney","ALP","Labor",18.1568551883611,"NSW","Sydney - City and Inner South",12968,12830,1779908328,10288,1077894689,2320,80260699,34595.1288793103,17.8901912399753,138730.189243959,104772.03431182,0.330194303341952
2015,654,2672,3326,"Sydney","ALP","Labor",30.3367408298256,"NSW","Sydney - City and Inner South",8369,8301,972480710,7437,746791015,1766,59278499,33566.5339750849,21.1016847891026,117152.235875196,100415.626596746,0.334275999789187
2016,721,3582,4303,"Sydney","ALP","Labor",33.244248198931,"NSW","Sydney - City and Inner South",8532,8433,815532526,7296,662309556,1874,63609543,33943.1926360726,21.9643694327239,96707.2840033203,90777.0773026316,0.373918104048593
